ticker,raw_ticker,exchange_source,company_name_source,Security Name
ACRV,ACRV,NASDAQ,"Acrivon Therapeutics, Inc.","Acrivon Therapeutics, Inc. - Common Stock"
ACT,ACT,NASDAQ,"Enact Holdings, Inc.","Enact Holdings, Inc. - Common Stock"
ACTG,ACTG,NASDAQ,Acacia Research Corporation,Acacia Research Corporation - Common Stock
ACTU,ACTU,NASDAQ,"Actuate Therapeutics, Inc.","Actuate Therapeutics, Inc. - Common stock"
ACVA,ACVA,NYSE,ACV Auctions Inc. Class A Common Stock,ACV Auctions Inc. Class A Common Stock
ACXP,ACXP,NASDAQ,"Acurx Pharmaceuticals, Inc.","Acurx Pharmaceuticals, Inc. - Common Stock"
AD,AD,NYSE,"Array Digital Infrastructure, Inc. Common Shares","Array Digital Infrastructure, Inc. Common Shares"
ADAC,ADAC,NASDAQ,American Drive Acquisition Company,American Drive Acquisition Company - Class A Ordinary Shares
ADBE,ADBE,NASDAQ,Adobe Inc.,Adobe Inc. - Common Stock
ADC,ADC,NYSE,Agree Realty Corporation Common Stock,Agree Realty Corporation Common Stock
ADCT,ADCT,NYSE,ADC Therapeutics SA Common Shares,ADC Therapeutics SA Common Shares
ADEA,ADEA,NASDAQ,Adeia Inc. ,Adeia Inc.  - Common Stock
ADGM,ADGM,NASDAQ,"Adagio Medical Holdings, Inc","Adagio Medical Holdings, Inc - Common Stock"
ADI,ADI,NASDAQ,"Analog Devices, Inc.","Analog Devices, Inc. - Common Stock"
ADIL,ADIL,NASDAQ,"Adial Pharmaceuticals, Inc","Adial Pharmaceuticals, Inc - Common Stock"
ADM,ADM,NYSE,Archer,Archer-Daniels-Midland Company Common Stock
ADMA,ADMA,NASDAQ,ADMA Biologics Inc,ADMA Biologics Inc - Common Stock
ADNT,ADNT,NYSE,Adient plc Ordinary Shares ,Adient plc Ordinary Shares 
ADP,ADP,NASDAQ,"Automatic Data Processing, Inc.","Automatic Data Processing, Inc. - Common Stock"
ADPT,ADPT,NASDAQ,Adaptive Biotechnologies Corporation,Adaptive Biotechnologies Corporation - Common Stock
ADSK,ADSK,NASDAQ,"Autodesk, Inc.","Autodesk, Inc. - Common Stock"
ADT,ADT,NYSE,ADT Inc. Common Stock,ADT Inc. Common Stock
ADTN,ADTN,NASDAQ,"ADTRAN Holdings, Inc.","ADTRAN Holdings, Inc. - Common Stock"
ADTX,ADTX,NASDAQ,"Aditxt, Inc.","Aditxt, Inc. - Common Stock"
ADUR,ADUR,NASDAQ,Aduro Clean Technologies Inc.,Aduro Clean Technologies Inc. - Common Stock
ADUS,ADUS,NASDAQ,Addus HomeCare Corporation,Addus HomeCare Corporation - Common Stock
ADV,ADV,NASDAQ,Advantage Solutions Inc. ,Advantage Solutions Inc.  - Class A Common Stock
ADVB,ADVB,NASDAQ,Advanced Biomed Inc.,Advanced Biomed Inc. - Common Stock
AEAQ,AEAQ,NASDAQ,Activate Energy Acquisition Corp.,Activate Energy Acquisition Corp. - Class A Ordinary Share
AEBI,AEBI,NASDAQ,Aebi Schmidt Holding AG,Aebi Schmidt Holding AG - Common Stock
AEC,AEC,NASDAQ,Anfield Energy Inc.,Anfield Energy Inc. - Common Shares
AEE,AEE,NYSE,Ameren Corporation Common Stock,Ameren Corporation Common Stock
AEG,AEG,NYSE,Aegon Ltd. New York Registry Shares,Aegon Ltd. New York Registry Shares
AEHL,AEHL,NASDAQ,Antelope Enterprise Holdings Limited,Antelope Enterprise Holdings Limited - Class A Ordinary Shares
AEHR,AEHR,NASDAQ,Aehr Test Systems,Aehr Test Systems - Common Stock
AEI,AEI,NASDAQ,Alset Inc.,Alset Inc. - Common Stock
AEIS,AEIS,NASDAQ,"Advanced Energy Industries, Inc.","Advanced Energy Industries, Inc. - Common Stock"
AEM,AEM,NYSE,Agnico Eagle Mines Limited Common Stock,Agnico Eagle Mines Limited Common Stock
AEMD,AEMD,NASDAQ,"Aethlon Medical, Inc.","Aethlon Medical, Inc. - Common Stock"
AENT,AENT,NASDAQ,Alliance Entertainment Holding Corporation,Alliance Entertainment Holding Corporation - common stock
AEO,AEO,NYSE,"American Eagle Outfitters, Inc. Common Stock","American Eagle Outfitters, Inc. Common Stock"
AEP,AEP,NASDAQ,"American Electric Power Company, Inc.","American Electric Power Company, Inc. - Common Stock"
AER,AER,NYSE,AerCap Holdings N.V. Ordinary Shares,AerCap Holdings N.V. Ordinary Shares
AES,AES,NYSE,The AES Corporation Common Stock,The AES Corporation Common Stock
AESI,AESI,NYSE,Atlas Energy Solutions Inc. Common Stock,Atlas Energy Solutions Inc. Common Stock
AEVA,AEVA,NASDAQ,"Aeva Technologies, Inc.","Aeva Technologies, Inc. - Common Stock"
AEXA,AEXA,NYSE,American Exceptionalism Acquisition Corp. A Class A Ordinary Shares,American Exceptionalism Acquisition Corp. A Class A Ordinary Shares
AEYE,AEYE,NASDAQ,"AudioEye, Inc.","AudioEye, Inc. - Common Stock"
AFBI,AFBI,NASDAQ,"Affinity Bancshares, Inc.","Affinity Bancshares, Inc. - Common Stock"
AFCG,AFCG,NASDAQ,Advanced Flower Capital Inc.,Advanced Flower Capital Inc. - Common Stock
AFG,AFG,NYSE,"American Financial Group, Inc. Common Stock","American Financial Group, Inc. Common Stock"
AFGB,AFGB,NYSE,"American Financial Group, Inc. 5.875% Subordinated Debentures due 2059","American Financial Group, Inc. 5.875% Subordinated Debentures due 2059"
AFGC,AFGC,NYSE,"American Financial Group, Inc. 5.125% Subordinated Debentures due 2059","American Financial Group, Inc. 5.125% Subordinated Debentures due 2059"
AFGD,AFGD,NYSE,"American Financial Group, Inc. 5.625% Subordinated Debentures due 2060","American Financial Group, Inc. 5.625% Subordinated Debentures due 2060"
AFGE,AFGE,NYSE,"American Financial Group, Inc. 4.500% Subordinated Debentures due 2060","American Financial Group, Inc. 4.500% Subordinated Debentures due 2060"
AFJK,AFJK,NASDAQ,"Aimei Health Technology Co., Ltd","Aimei Health Technology Co., Ltd - Ordinary Share"
AFL,AFL,NYSE,AFLAC Incorporated Common Stock,AFLAC Incorporated Common Stock
AFRI,AFRI,NASDAQ,Forafric Global PLC,Forafric Global PLC - Ordinary Shares
AFRM,AFRM,NASDAQ,"Affirm Holdings, Inc.","Affirm Holdings, Inc. - Class A Common Stock"
AFYA,AFYA,NASDAQ,Afya Limited,Afya Limited - Class A Common Shares
AG,AG,NYSE,First Majestic Silver Corp. Ordinary Shares (Canada),First Majestic Silver Corp. Ordinary Shares (Canada)
AGBK,AGBK,NYSE,AGI Inc Class A Common Shares,AGI Inc Class A Common Shares
AGCC,AGCC,NASDAQ,Agencia Comercial Spirits Ltd,Agencia Comercial Spirits Ltd - Class A Ordinary Share
AGCO,AGCO,NYSE,AGCO Corporation Common Stock,AGCO Corporation Common Stock
AGEN,AGEN,NASDAQ,Agenus Inc.,Agenus Inc. - Common Stock
AGH,AGH,NASDAQ,Aureus Greenway Holdings Inc.,Aureus Greenway Holdings Inc. - Common Stock
AGI,AGI,NYSE,Alamos Gold Inc. Class A Common Shares,Alamos Gold Inc. Class A Common Shares
AGIO,AGIO,NASDAQ,"Agios Pharmaceuticals, Inc.","Agios Pharmaceuticals, Inc. - Common Stock"
AGL,AGL,NYSE,"agilon health, inc. Common Stock","agilon health, inc. Common Stock"
AGM,AGM,NYSE,Federal Agricultural Mortgage Corporation Common Stock,Federal Agricultural Mortgage Corporation Common Stock
AGM-A,AGM.A,NYSE,Federal Agricultural Mortgage Corporation Common Stock,Federal Agricultural Mortgage Corporation Common Stock
AGMB,AGMB,NASDAQ,AgomAb Therapeutics NV,AgomAb Therapeutics NV - ADRs representing one common share.
AGMH,AGMH,NASDAQ,AGM Group Holdings Inc.,AGM Group Holdings Inc. - Class A Ordinary Shares
AGNC,AGNC,NASDAQ,AGNC Investment Corp.,AGNC Investment Corp. - Common Stock
AGNT,AGNT,NASDAQ,"eXp World Holdings, Inc.","eXp World Holdings, Inc. - Common Stock"
AGO,AGO,NYSE,Assured Guaranty Ltd. Common Stock,Assured Guaranty Ltd. Common Stock
AGPU,AGPU,NASDAQ,Axe Compute Inc.,Axe Compute Inc. - Common Stock
AGRO,AGRO,NYSE,Adecoagro S.A. Common Shares,Adecoagro S.A. Common Shares
AGX,AGX,NYSE,"Argan, Inc. Common Stock","Argan, Inc. Common Stock"
AGYS,AGYS,NASDAQ,"Agilysys, Inc.","Agilysys, Inc. - Common Stock"
AHCO,AHCO,NASDAQ,AdaptHealth Corp. ,AdaptHealth Corp.  - Common Stock
AHMA,AHMA,NASDAQ,Ambitions Enterprise Management Co. L.L.C,Ambitions Enterprise Management Co. L.L.C - Class A Ordinary Shares
AHR,AHR,NYSE,"American Healthcare REIT, Inc. Common Stock","American Healthcare REIT, Inc. Common Stock"
AI,AI,NYSE,"C3.ai, Inc. Class A Common Stock","C3.ai, Inc. Class A Common Stock"
AIDX,AIDX,NASDAQ,"20/20 Biolabs, Inc.","20/20 Biolabs, Inc. - Common Stock"
AIFC,AIFC,NASDAQ,AI Financial Corporation,AI Financial Corporation - Common Stock
AIFF,AIFF,NASDAQ,"Firefly Neuroscience, Inc. ","Firefly Neuroscience, Inc.  - Common Stock"
AIFU,AIFU,NASDAQ,AIFU Inc.,AIFU Inc. - Class A Ordinary Share
AIG,AIG,NYSE,"American International Group, Inc. New Common Stock","American International Group, Inc. New Common Stock"
AIHS,AIHS,NASDAQ,Senmiao Technology Limited,Senmiao Technology Limited - Common Stock
AII,AII,NYSE,"American Integrity Insurance Group, Inc. Common Stock","American Integrity Insurance Group, Inc. Common Stock"
AIIA,AIIA,NYSE,AI Infrastructure Acquisition Corp. Class A Ordinary Shares,AI Infrastructure Acquisition Corp. Class A Ordinary Shares
AIMD,AIMD,NASDAQ,"Ainos, Inc.","Ainos, Inc. - Common Stock"
AIN,AIN,NYSE,Albany International Corporation Common Stock,Albany International Corporation Common Stock
AIOS,AIOS,NASDAQ,AIOS Tech Inc.,AIOS Tech Inc. - Class A Common Shares
AIOT,AIOT,NASDAQ,"PowerFleet, Inc.","PowerFleet, Inc. - Common Stock"
AIP,AIP,NASDAQ,"Arteris, Inc. ","Arteris, Inc.  - Common Stock"
AIR,AIR,NYSE,AAR Corp. Common Stock,AAR Corp. Common Stock
AIRG,AIRG,NASDAQ,"Airgain, Inc.","Airgain, Inc. - Common Stock"
AIRJ,AIRJ,NASDAQ,AirJoule Technologies Corporation,AirJoule Technologies Corporation - Class A Common Stock
AIRO,AIRO,NASDAQ,"AIRO Group Holdings, Inc.","AIRO Group Holdings, Inc. - Common Stock"
AIRS,AIRS,NASDAQ,"AirSculpt Technologies, Inc.","AirSculpt Technologies, Inc. - Common Stock"
AIRT,AIRT,NASDAQ,"Air T, Inc.","Air T, Inc. - Common Stock"
AISP,AISP,NASDAQ,"Airship AI Holdings, Inc","Airship AI Holdings, Inc - Class A Common Stock"
AIT,AIT,NYSE,"Applied Industrial Technologies, Inc. Common Stock","Applied Industrial Technologies, Inc. Common Stock"
AIV,AIV,NYSE,Apartment Investment and Management Company Common Stock,Apartment Investment and Management Company Common Stock
AIXC,AIXC,NASDAQ,"AIxCrypto Holdings, Inc.","AIxCrypto Holdings, Inc. - Common Stock"
AIZ,AIZ,NYSE,"Assurant, Inc. Common Stock","Assurant, Inc. Common Stock"
AJG,AJG,NYSE,Arthur J. Gallagher & Co. Common Stock,Arthur J. Gallagher & Co. Common Stock
AKA,AKA,NYSE,a.k.a. Brands Holding Corp. Common Stock,a.k.a. Brands Holding Corp. Common Stock
AKAM,AKAM,NASDAQ,"Akamai Technologies, Inc.","Akamai Technologies, Inc. - Common Stock"
AKAN,AKAN,NASDAQ,Akanda Corp.,Akanda Corp. - Common Shares
AKBA,AKBA,NASDAQ,"Akebia Therapeutics, Inc.","Akebia Therapeutics, Inc. - Common Stock"
AKO-A,AKO.A,NYSE,Embotelladora Andina S.A. Common Stock,Embotelladora Andina S.A. Common Stock
AKO-B,AKO.B,NYSE,Embotelladora Andina S.A. Common Stock,Embotelladora Andina S.A. Common Stock
AKTS,AKTS,NASDAQ,"Aktis Oncology, Inc.","Aktis Oncology, Inc. - Common stock"
ALAB,ALAB,NASDAQ,"Astera Labs, Inc.","Astera Labs, Inc. - Common Stock"
ALB,ALB,NYSE,Albemarle Corporation Common Stock,Albemarle Corporation Common Stock
ALC,ALC,NYSE,Alcon Inc. Ordinary Shares,Alcon Inc. Ordinary Shares
ALCO,ALCO,NASDAQ,"Alico, Inc.","Alico, Inc. - Common Stock"
ALCY,ALCY,NASDAQ,Alchemy Investments Acquisition Corp 1,Alchemy Investments Acquisition Corp 1 - Class A Ordinary Shares
ALDF,ALDF,NASDAQ,Aldel Financial II Inc.,Aldel Financial II Inc. - Class A Ordinary Shares
ALDX,ALDX,NASDAQ,"Aldeyra Therapeutics, Inc.","Aldeyra Therapeutics, Inc. - Common Stock"
ALEC,ALEC,NASDAQ,"Alector, Inc.","Alector, Inc. - Common Stock"
ALF,ALF,NASDAQ,Centurion Acquisition Corp.,Centurion Acquisition Corp. - Class A Ordinary Shares
ALG,ALG,NYSE,"Alamo Group, Inc. Common Stock","Alamo Group, Inc. Common Stock"
ALGM,ALGM,NASDAQ,"Allegro MicroSystems, Inc.","Allegro MicroSystems, Inc. - Common Stock"
ALGN,ALGN,NASDAQ,"Align Technology, Inc.","Align Technology, Inc. - Common Stock"
ALGS,ALGS,NASDAQ,"Aligos Therapeutics, Inc.","Aligos Therapeutics, Inc. - Common stock"
ALGT,ALGT,NASDAQ,Allegiant Travel Company,Allegiant Travel Company - Common Stock
ALH,ALH,NYSE,Alliance Laundry Holdings Inc. Common Stock,Alliance Laundry Holdings Inc. Common Stock
ALHC,ALHC,NASDAQ,"Alignment Healthcare, Inc.","Alignment Healthcare, Inc. - Common Stock"
ALIT,ALIT,NYSE,"Alight, Inc. Class A Common Stock","Alight, Inc. Class A Common Stock"
ALK,ALK,NYSE,"Alaska Air Group, Inc. Common Stock","Alaska Air Group, Inc. Common Stock"
ALKS,ALKS,NASDAQ,Alkermes plc,Alkermes plc - Ordinary Shares
ALKT,ALKT,NASDAQ,"Alkami Technology, Inc.","Alkami Technology, Inc. - Common Stock"
ALL,ALL,NYSE,Allstate Corporation (The) Common Stock,Allstate Corporation (The) Common Stock
ALL$B,ALL$B,NYSE,Allstate Corporation (The) 5.100% Fixed,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053
ALLE,ALLE,NYSE,Allegion plc Ordinary Shares,Allegion plc Ordinary Shares
ALLO,ALLO,NASDAQ,"Allogene Therapeutics, Inc.","Allogene Therapeutics, Inc. - Common Stock"
ALLR,ALLR,NASDAQ,"Allarity Therapeutics, Inc.","Allarity Therapeutics, Inc. - Common stock"
ALLT,ALLT,NASDAQ,Allot Ltd.,Allot Ltd. - Ordinary Shares
ALLY,ALLY,NYSE,Ally Financial Inc. Common Stock,Ally Financial Inc. Common Stock
ALM,ALM,NASDAQ,Almonty Industries Inc.,Almonty Industries Inc. - Common Shares
ALMR,ALMR,NASDAQ,"Alamar Biosciences, Inc.","Alamar Biosciences, Inc. - Class A common stock"
ALMS,ALMS,NASDAQ,Alumis Inc.,Alumis Inc. - Common Stock
ALMU,ALMU,NASDAQ,"Aeluma, Inc.","Aeluma, Inc. - Common Stock"
ALNT,ALNT,NASDAQ,Allient Inc.,Allient Inc. - Common Stock
ALNY,ALNY,NASDAQ,"Alnylam Pharmaceuticals, Inc.","Alnylam Pharmaceuticals, Inc. - Common Stock"
ALOT,ALOT,NASDAQ,"AstroNova, Inc.","AstroNova, Inc. - Common Stock"
ALOV,ALOV,NASDAQ,"Aldabra 4 Liquidity Opportunity Vehicle, Inc.","Aldabra 4 Liquidity Opportunity Vehicle, Inc. - Class A Ordinary Shares"
ALOY,ALOY,NASDAQ,REalloys Inc.,REalloys Inc. - Common Stock
ALPS,ALPS,NASDAQ,ALPS Group Inc,ALPS Group Inc - Ordinary Share
ALRM,ALRM,NASDAQ,"Alarm.com Holdings, Inc.","Alarm.com Holdings, Inc. - Common Stock"
ALRS,ALRS,NASDAQ,Alerus Financial Corporation,Alerus Financial Corporation - Common Stock
ALSN,ALSN,NYSE,"Allison Transmission Holdings, Inc. Common Stock","Allison Transmission Holdings, Inc. Common Stock"
ALT,ALT,NASDAQ,"Altimmune, Inc.","Altimmune, Inc. - Common Stock"
ALTG,ALTG,NYSE,Alta Equipment Group Inc. Class A Common Stock,Alta Equipment Group Inc. Class A Common Stock
ALTI,ALTI,NASDAQ,"AlTi Global, Inc.","AlTi Global, Inc. - Class A Common Stock"
ALTO,ALTO,NASDAQ,"Alto Ingredients, Inc.","Alto Ingredients, Inc. - Common Stock"
ALUB,ALUB,NYSE,Alussa Energy Acquisition Corp. II Class A Ordinary Shares,Alussa Energy Acquisition Corp. II Class A Ordinary Shares
ALV,ALV,NYSE,"Autoliv, Inc. Common Stock","Autoliv, Inc. Common Stock"
ALVO,ALVO,NASDAQ,Alvotech,Alvotech - Ordinary Shares
ALX,ALX,NYSE,"Alexander's, Inc. Common Stock","Alexander's, Inc. Common Stock"
ALXO,ALXO,NASDAQ,ALX Oncology Holdings Inc.,ALX Oncology Holdings Inc. - Common Stock
AM,AM,NYSE,Antero Midstream Corporation Common Stock,Antero Midstream Corporation Common Stock
AMAL,AMAL,NASDAQ,Amalgamated Financial Corp.,Amalgamated Financial Corp. - Common Stock
AMAT,AMAT,NASDAQ,"Applied Materials, Inc.","Applied Materials, Inc. - Common Stock"
AMBA,AMBA,NASDAQ,"Ambarella, Inc.","Ambarella, Inc. - Ordinary Shares"
AMBP,AMBP,NYSE,Ardagh Metal Packaging S.A. Ordinary Shares,Ardagh Metal Packaging S.A. Ordinary Shares
AMBQ,AMBQ,NYSE,"Ambiq Micro, Inc. Common Stock","Ambiq Micro, Inc. Common Stock"
AMC,AMC,NYSE,"AMC Entertainment Holdings, Inc. Class A Common Stock","AMC Entertainment Holdings, Inc. Class A Common Stock"
AMCI,AMCI,NASDAQ,AMC Robotics Corporation,AMC Robotics Corporation - Common Stock
AMCR,AMCR,NYSE,Amcor plc Ordinary Shares,Amcor plc Ordinary Shares
AMCX,AMCX,NASDAQ,AMC Global Media Inc.,AMC Global Media Inc. - Class A Common Stock
AMD,AMD,NASDAQ,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc. - Common Stock"
AME,AME,NYSE,"AMETEK, Inc.","AMETEK, Inc."
AMG,AMG,NYSE,"Affiliated Managers Group, Inc. Common Stock","Affiliated Managers Group, Inc. Common Stock"
AMGN,AMGN,NASDAQ,Amgen Inc.,Amgen Inc. - Common Stock
AMH,AMH,NYSE,American Homes 4 Rent Common Shares of Beneficial Interest,American Homes 4 Rent Common Shares of Beneficial Interest
AMKR,AMKR,NASDAQ,"Amkor Technology, Inc.","Amkor Technology, Inc. - Common Stock"
AMLX,AMLX,NASDAQ,"Amylyx Pharmaceuticals, Inc.","Amylyx Pharmaceuticals, Inc. - Common Stock"
AMN,AMN,NYSE,AMN Healthcare Services Inc,AMN Healthcare Services Inc
AMP,AMP,NYSE,"Ameriprise Financial, Inc. Common Stock","Ameriprise Financial, Inc. Common Stock"
AMPG,AMPG,NASDAQ,"Amplitech Group, Inc.","Amplitech Group, Inc. - Common Stock"
AMPH,AMPH,NASDAQ,"Amphastar Pharmaceuticals, Inc.","Amphastar Pharmaceuticals, Inc. - Common Stock"
AMPL,AMPL,NASDAQ,"Amplitude, Inc.","Amplitude, Inc. - Class A Common Stock"
AMPX,AMPX,NYSE,"Amprius Technologies, Inc. Common Stock","Amprius Technologies, Inc. Common Stock"
AMPY,AMPY,NYSE,Amplify Energy Corp. Common Stock,Amplify Energy Corp. Common Stock
AMR,AMR,NYSE,"Alpha Metallurgical Resources, Inc. Common Stock","Alpha Metallurgical Resources, Inc. Common Stock"
AMRC,AMRC,NYSE,"Ameresco, Inc. Class A Common Stock","Ameresco, Inc. Class A Common Stock"
AMRX,AMRX,NASDAQ,"Amneal Pharmaceuticals, Inc.","Amneal Pharmaceuticals, Inc. - Class A Common Stock"
AMRZ,AMRZ,NYSE,Amrize Ltd Ordinary Shares,Amrize Ltd Ordinary Shares
AMSC,AMSC,NASDAQ,American Superconductor Corporation,American Superconductor Corporation - Common Stock
AMSF,AMSF,NASDAQ,"AMERISAFE, Inc.","AMERISAFE, Inc. - Common Stock"
AMST,AMST,NASDAQ,Amesite Inc.,Amesite Inc. - Common Stock
AMT,AMT,NYSE,American Tower Corporation (REIT) Common Stock,American Tower Corporation (REIT) Common Stock
AMTB,AMTB,NYSE,Amerant Bancorp Inc. Class A Common Stock,Amerant Bancorp Inc. Class A Common Stock
AMTM,AMTM,NYSE,"Amentum Holdings, Inc. Common Stock","Amentum Holdings, Inc. Common Stock"
AMTX,AMTX,NASDAQ,"Aemetis, Inc","Aemetis, Inc - Common Stock"
AMWD,AMWD,NASDAQ,American Woodmark Corporation,American Woodmark Corporation - Common Stock
AMWL,AMWL,NYSE,American Well Corporation Class A Common Stock,American Well Corporation Class A Common Stock
AMZN,AMZN,NASDAQ,"Amazon.com, Inc.","Amazon.com, Inc. - Common Stock"
AN,AN,NYSE,"AutoNation, Inc. Common Stock","AutoNation, Inc. Common Stock"
ANAB,ANAB,NASDAQ,"AnaptysBio, Inc.","AnaptysBio, Inc. - Common Stock"
ANDE,ANDE,NASDAQ,"The Andersons, Inc.","The Andersons, Inc. - Common Stock"
ANDG,ANDG,NYSE,Andersen Group Inc. Class A Common Stock,Andersen Group Inc. Class A Common Stock
ANET,ANET,NYSE,"Arista Networks, Inc. Common Stock","Arista Networks, Inc. Common Stock"
ANF,ANF,NYSE,Abercrombie & Fitch Company Common Stock,Abercrombie & Fitch Company Common Stock
ANGH,ANGH,NASDAQ,Anghami Inc.,Anghami Inc. - Ordinary Shares
ANGI,ANGI,NASDAQ,Angi Inc.,Angi Inc. - Class A Common Stock
